ID, ideology, leadership, name, party, description, introduced_bills_115, cosponsored_bills_115, unique_cosponsors_115, total_cosponsors_115
412190, 0.529820609934, 0.634196378672, McCarthy, Republican, centrist Republican, 13, 19, 326, 387
412261, 0.730184476558, 0.693764381787, Scalise, Republican, rank-and-file Republican, 5, 37, 113, 132
400021, 0.382924431973, 0.293672311314, Becerra, Democrat, moderate Democratic follower, 0, 2, 0, 0
412270, 0.729756804046, 0.785327627557, Chaffetz, Republican, moderate Republican leader, 20, 52, 360, 436
412217, 0.740059663779, 0.614880023303, Smith [NE3], Republican, rank-and-file Republican, 10, 80, 108, 146
400351, 0.588411230284, 0.238970392046, Ryan [WI1], Republican, centrist Republican follower , 2, 2, 10, 10
412607, 0.313684912803, 0.460779549642, Adams, Democrat, rank-and-file Democrat, 16, 250, 162, 380
412605, 0.826795742478, 0.513806506278, Brat, Republican, rank-and-file Republican, 19, 196, 143, 189
412630, 0.838900184379, 0.414215322281, Abraham, Republican, rank-and-file Republican, 6, 193, 91, 104
412637, 0.292927336283, 0.293498585629, Dingell, Democrat, moderate Democratic follower, 21, 379, 133, 200
412617, 0.342548519574, 0.254337655884, Torres, Democrat, moderate Democratic follower, 21, 288, 102, 163
412635, 0.820552134948, 0.577975657012, Bishop [MI8], Republican, rank-and-file Republican, 11, 262, 136, 171
412622, 0.837389237186, 0.547694084555, Carter [GA1], Republican, rank-and-file Republican, 16, 201, 178, 310
412625, 0.856105838915, 0.304581225706, Allen, Republican, moderate Republican follower, 5, 197, 32, 35
412663, 0.690397573673, 0.41400149317, Jenkins [WV3], Republican, rank-and-file Republican, 11, 140, 104, 143
412673, 0.733057334625, 0.107618261532, Kelly [MS1], Republican, moderate Republican follower, 7, 144, 31, 36
412641, 0.889219306197, 0.347385593457, Rouzer, Republican, conservative Republican, 9, 221, 32, 38
412610, 0.821480813129, 0.215537672834, Westerman, Republican, moderate Republican follower, 6, 165, 41, 44
412615, 0.350041593315, 0.245906606836, Aguilar, Democrat, moderate Democratic follower, 7, 232, 74, 91
412638, 0.288202771033, 0.374961057074, Lawrence, Democrat, rank-and-file Democrat, 21, 257, 148, 271
412644, 0.181697139936, 0.372773049853, Watson Coleman, Democrat, progressive Democrat, 14, 435, 116, 205
412612, 0.303154499943, 0.327306749057, Gallego, Democrat, rank-and-file Democrat, 11, 363, 126, 141
412611, 0.679058792635, 0.798173354714, McSally, Republican, moderate Republican leader, 27, 127, 331, 621
412639, 0.787958027424, 0.408376914682, Emmer, Republican, rank-and-file Republican, 17, 186, 67, 92
412609, 0.74426011069, 0.313083827901, Hill, Republican, moderate Republican follower, 14, 133, 93, 116
412649, 0.601479442006, 0.558133909492, Katko, Republican, centrist Republican, 23, 238, 199, 350
412616, 0.273445763933, 0.606436849663, Lieu, Democrat, rank-and-file Democrat, 26, 460, 225, 669
412656, 0.700182996686, 0.380146276333, Love, Republican, rank-and-file Republican, 16, 176, 70, 83
412643, 0.610499978, 0.451701051645, MacArthur, Republican, centrist Republican, 13, 230, 88, 110
412662, 0.789526205036, 0.594450068726, Mooney, Republican, rank-and-file Republican, 13, 228, 152, 158
412606, 0.356407257149, 0.100581371113, Norcross, Democrat, moderate Democratic follower, 8, 299, 19, 19
412647, 0.36946593601, 0.187136520617, Rice [NY4], Democrat, moderate Democratic follower, 9, 327, 41, 45
412648, 0.645619454368, 0.701919494612, Stefanik, Republican, centrist Republican, 22, 333, 326, 743
412628, 0.750240037171, 0.427828918776, Young [IA3], Republican, rank-and-file Republican, 16, 231, 103, 124
412640, 0.744560650693, 0.507934625767, Zinke, Republican, rank-and-file Republican, 0, 2, 0, 0
412658, 0.696977465116, 0.59007072834, Comstock, Republican, rank-and-file Republican, 19, 321, 285, 415
412614, 0.682315232569, 0.386273411689, Knight, Republican, rank-and-file Republican, 22, 205, 126, 169
412613, 0.217063575959, 0.344740355792, DeSaulnier, Democrat, progressive Democrat, 15, 450, 103, 139
412632, 0.365091680024, 0.61021875491, Moulton, Democrat, moderate Democratic leader, 10, 466, 152, 215
